ENSEMBL.ID,term,estimate,std.error,statistic,p.value,p.adj,symbol
ENSMUSG00000068083,chol2:sexM,-0.03305481442656891,0.07336918604301447,-0.4505272064377233,0.6533677807324171,0.6533677807324171,Cyp2d40
ENSMUSG00000021135,chol2:sexM,-0.12027044354407676,0.2672567872860503,-0.4500182942607512,0.6537333602066702,0.6537333602066702,Slc10a1
ENSMUSG00000029695,chol2:sexM,-0.0709748245009106,0.15833858980353877,-0.4482471682296387,0.6550063148251113,0.6550063148251113,Aass
ENSMUSG00000004270,chol2:sexM,-0.017549791261443407,0.039181333323878104,-0.4479120482290509,0.6552472891451648,0.6552472891451648,Lpcat3
ENSMUSG00000006304,chol2:sexM,-0.006900594047345374,0.015431655372611559,-0.4471713423300458,0.6557800370059977,0.6557800370059977,Arpc2
ENSMUSG00000048087,chol2:sexM,-0.5367688656275807,1.20097239589394,-0.4469452149464589,0.6559427131172164,0.6559427131172164,Ahcyl
ENSMUSG00000028327,chol2:sexM,0.04274087264052402,0.09579670723187259,0.44616223120353427,0.6565061199369333,0.6565061199369333,Stra6l
ENSMUSG00000024121,chol2:sexM,-0.02236392275249309,0.050186133371302906,-0.4456195616233921,0.6568967218619218,0.6568967218619218,Atp6v0c
ENSMUSG00000035349,chol2:sexM,0.014463136424320129,0.03246491431253831,0.4455005266634665,0.6569824134173243,0.6569824134173243,NA
ENSMUSG00000037580,chol2:sexM,0.024874967820826974,0.05585348018581584,0.4453611079931246,0.6570827847400016,0.6570827847400016,Gch1
ENSMUSG00000025317,chol2:sexM,-0.02309267087237846,0.05208374648022535,-0.44337576370674603,0.6585127698079614,0.6585127698079614,Car5a
ENSMUSG00000034714,chol2:sexM,-0.00975038934438277,0.02204766391383525,-0.44224138133130064,0.6593304025006348,0.6593304025006348,Ttyh2
ENSMUSG00000020064,chol2:sexM,0.006805522010425487,0.01540938643224407,0.44164782552178483,0.6597583867200101,0.6597583867200101,Herc4
ENSMUSG00000032083,chol2:sexM,1.2715719185333685,2.8798813710219084,0.44153621441780394,0.6598388767016986,0.6598388767016986,Apoa1
ENSMUSG00000072680,chol2:sexM,0.029965342733986027,0.06789708291225748,0.4413347591487819,0.6599841692451036,0.6599841692451036,NA
ENSMUSG00000061315,chol2:sexM,-0.021429668029785746,0.048755232168016034,-0.43953576009927897,0.6612822112907557,0.6612822112907557,Naca
ENSMUSG00000058952,chol2:sexM,-0.12330825429099279,0.2809960510401011,-0.4388255772085402,0.6617949188942673,0.6617949188942673,Cfi
ENSMUSG00000057074,chol2:sexM,-0.1369534068354242,0.31233360875506966,-0.43848437374801486,0.6620413037737924,0.6620413037737924,Ces1g
ENSMUSG00000028538,chol2:sexM,0.010073369130021785,0.02301425014145939,0.43770138362557176,0.6626068457336907,0.6626068457336907,St3gal3
ENSMUSG00000081684,chol2:sexM,-0.1566102271798199,0.3578024750382403,-0.4377002343627783,0.6626076759726467,0.6626076759726467,Rps2-ps13
ENSMUSG00000044792,chol2:sexM,0.006674246696868846,0.015254996686360758,0.43751216955924876,0.6627435415443939,0.6627435415443939,Isca1
ENSMUSG00000074622,chol2:sexM,-0.030157962468443506,0.06899098418939481,-0.4371290368268053,0.6630203669070661,0.6630203669070661,Mafb
ENSMUSG00000040713,chol2:sexM,-0.11357370950258687,0.2607018705657908,-0.4356459324825802,0.6640923966940935,0.6640923966940935,Creg1
ENSMUSG00000079557,chol2:sexM,-0.006525750952448657,0.014979537070673943,-0.4356443674901268,0.6640935282843579,0.6640935282843579,Marchf2
